event,datetime,location,description
http://example.com/E_CNN_1,2021-01-06T07:30:00,,"Meadows texts Rep. Jim Jordan, an Ohio Republican who backed Trump’s efforts to overturn the election, according to texts obtained by CNN. Meadows tells Jordan 'I have pushed for this,' responding to a text that Jordan sent the night before, which advocated for Vice President Mike Pence to overturn the election while presiding over Congress’ certification of the Electoral College results. Meadows also tells Jordan he’s 'not sure it is going to happen.'"
http://example.com/E_CNN_2,2021-01-06T09:24:00,,"Trump talks on the phone with Jordan for approximately 10 minutes, according to White House records that were obtained by the committee and released at a public hearing. After Trump’s conversation with Miller, Trump adjusts a draft of his upcoming speech to add more lines about Pence and the joint session of Congress, according to the committee, which reviewed the drafts."
http://example.com/E_CNN_3,2021-01-06T09:52:00,,"Trump talks to senior adviser and lead speechwriter Stephen Miller for 26 minutes, according to White House records that were obtained by the committee and released at a public hearing. After Trump’s conversation with Miller, Trump adjusts a draft of his upcoming speech to add more lines about Pence and the joint session of Congress, according to the committee, which reviewed the drafts."
http://example.com/E_CNN_4,2021-01-06T10:00:00,http://example.com/ellipse,"White House deputy chief of staff Tony Ornato informs Trump that authorities at the Ellipse, where Trump was going to hold a rally, encountered attendees with weapons, including pistols, rifles, bear spray and spears, according to Hutchinson’s testimony."
http://example.com/E_CNN_5,2021-01-06T10:15:00,,"Hutchinson and Ornato inform Meadows about the armed members of the crowd forming at the Ellipse, according to Hutchinson’s testimony. Hutchinson told lawmakers that Meadows had little reaction when she told him about reports about weapons in the crowd."
http://example.com/E_CNN_6,2021-01-06T10:47:00,,"Trump lawyer Rudy Giuliani begins his speech at the Ellipse rally, urges lawmakers to overturn the election, and tells the crowd, 'let’s have trial by combat.' Giuliani shares the podium with another right-wing lawyer, John Eastman, the architect of a Trump-backed plan for Pence to overturn the results while presiding over that day’s joint session of Congress, where lawmakers certify the Electoral College winner."
http://example.com/E_CNN_7,2021-01-06T11:20:00,,"Trump speaks on the phone with Pence. White House aides told the committee that the call was tense and heated, and that Pence reiterated that he wasn’t going to change the outcome of the election during the joint session of Congress. Trump responded by calling Pence a 'wimp,' according to witness testimony."
http://example.com/E_CNN_8,2021-01-06T12:00:00,,"Trump tells his staff to 'take the f**king mags away,' referring to the metal detectors at the security line for his Ellipse rally, because the rallygoers were 'not here to hurt me,' according to Hutchinson’s testimony. Trump wanted to increase the size of the crowd, Hutchinson said."
http://example.com/E_CNN_9,2021-01-06T12:00:00,,"Trump begins his speech at the Ellipse, where he repeats many of his election lies and publicly pressures Pence to go along with Eastman’s legally dubious scheme."
http://example.com/E_CNN_10,2021-01-06T13:00:00,,"Pro-Trump rioters – including members of the Proud Boys, a far-right extremist group – overrun the first set of barriers outside the Capitol and start rushing toward the building. Top White House staffers, including Meadows, are quickly alerted by the US Secret Service that the police lines are collapsing at the Capitol, according to Hutchinson’s testimony."
http://example.com/E_CNN_11,2021-01-06T13:10:00,,"As he ends his speech at the Ellipse, Trump calls for supporters to 'walk down Pennsylvania Avenue' and march to the Capitol. He also tells the crowd that he will be marching with them. Around the same time, House Minority Leader Kevin McCarthy, a California Republican and Trump ally, calls Hutchinson and angrily tells her not to let Trump go to the Capitol, according to Hutchinson’s testimony."
http://example.com/E_CNN_12,2021-01-06T13:19:00,,"Trump arrives back at the White House. During the short drive back from the Ellipse, Trump becomes irate and demands to be driven to the Capitol, but members of his security team refuse to take him there, according to Hutchinson, who testified that she was told about the exchange by Ornato and another member of Trump’s security detail."
http://example.com/E_CNN_13,2021-01-06T13:25:00,,"Trump goes into the private dining room near the Oval Office, where he stays until 4 p.m., according to the committee which cited testimony from White House aides. Witnesses told the committee that Trump spent the afternoon watching Fox News’ coverage of his supporters attacking the Capitol. The chief White House photographer was told not to take pictures of Trump during this period, according to the committee."
http://example.com/E_CNN_14,2021-01-06T13:39:00,,"Trump calls Giuliani, according to phone records obtained by the January 6 committee. It is unclear what they discussed."
http://example.com/E_CNN_15,2021-01-06T14:00:00,,"The Capitol goes on lockdown as some of the first rioters breach the building. Back at the White House, the White House Counsel Cipollone tells Meadows that Trump needs to take action to stop the riot, and that 'something needs to be done or people are going to die,' according to Hutchinson’s testimony."
http://example.com/E_CNN_16,2021-01-06T14:03:00,,"Trump calls Giuliani again, and the call lasts for approximately eight minutes, according to phone records obtained by the January 6 committee. It is unclear what they discussed."
http://example.com/E_CNN_17,2021-01-06T14:13:00,,"The Senate abruptly adjourns, amid a debate over a GOP objection to Biden’s electoral votes from Arizona. Senators are evacuated from the chamber. Around this time, Trump speaks on the phone with Sen. Tommy Tuberville, an Alabama Republican, who tells Trump about the frantic evacuation of senators."
http://example.com/E_CNN_18,2021-01-06T14:14:00,,"In one of the most infamous scenes of the insurrection, QAnon supporter Doug Jensen menaces US Capitol Police Officer Eugene Goodman, who shrewdly steers Jensen away from the nearby Senate floor."
http://example.com/E_CNN_19,2021-01-06T14:15:00,,"At the White House, Cipollone again tells Meadows that Trump should intervene. Meadows responds by saying Trump 'doesn’t want to do anything' about the riot and that Trump agrees with the rioters who were calling for Pence to be hanged, according to Hutchinson’s testimony."
http://example.com/E_CNN_20,2021-01-06T14:24:00,,"Trump criticizes Pence in a tweet, slamming Pence for refusing to implement his illegal scheme to overturn the election while presiding over the joint session of Congress."
http://example.com/E_CNN_21,2021-01-06T14:26:00,,"The Secret Service evacuates Pence from his office across from the Senate chamber, and he was eventually whisked away to a loading dock under the Capitol. The January 6 committee has said Pence came within 40 feet of the approaching rioters."
http://example.com/E_CNN_22,2021-01-06T14:28:00,,
http://example.com/E_CNN_23,2021-01-06T14:28:00,,"Rep. Marjorie Taylor Greene, a Georgia Republican and pro-Trump conspiracy theorist, tells Meadows via text that he should 'tell the President to calm people,' according to messages obtained by CNN."
http://example.com/E_CNN_24,2021-01-06T14:30:00,,"The House goes into recess. Lawmakers evacuate the area, and some take refuge inside the chamber, donning gas masks."
http://example.com/E_CNN_25,2021-01-06T14:32:00,,"Fox News host Laura Ingraham, who promoted many of Trump’s election lies, texts Meadows that 'the president needs to tell people in the Capitol to go home,' according to messages obtained by CNN."
http://example.com/E_CNN_26,2021-01-06T14:35:00,,"Trump’s former acting chief of staff Mick Mulvaney texts Meadows saying that Trump 'needs to stop this, now,' and offers to help, according to messages obtained by CNN."
http://example.com/E_CNN_27,2021-01-06T14:38:00,,"Trump tweets that the rioters should 'stay peaceful,' but doesn’t tell them to leave the Capitol."
http://example.com/E_CNN_28,2021-01-06T14:39:00,,"Some of the first Capitol windows are smashed by Dominic Pezzola, an alleged Proud Boy who has been charged with seditious conspiracy. (He pleaded not guilty to charges related to the attack.) More pro-Trump rioters flood into the Capitol building after overrunning barricades, fighting past police officers, and climbing up the inauguration scaffolding."
http://example.com/E_CNN_29,2021-01-06T14:40:00,,A group of Oath Keepers – a far-right extremist group – weave through throngs of rioters in a military-style formation and enter the Capitol building. Several members of the group have been charged with seditious conspiracy.
http://example.com/E_CNN_30,2021-01-06T14:44:00,,"Pro-Trump rioter Ashli Babbitt is fatally shot by a police officer while trying to break into the Speaker’s Lobby, which is adjacent to the House floor, while lawmakers were evacuating. At the same time, Rep. Barry Loudermilk, a Georgia Republican who supported nullifying Biden’s victory in his state, texts Meadows that 'It’s really bad up here on the hill,' according to messages obtained by CNN."
http://example.com/E_CNN_31,2021-01-06T14:45:00,,Pro-Trump rioters invade the Senate floor and break into House Speaker Nancy Pelosi’s office.
